Name,Main category,Sub category,Valve,Level,Combined_tags
\\PIGILCollective\SACPP_CEN_LIC2070_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2070_PV CONDENSATE LEVEL
\\PIGILCollective\SACPP_CEN_LIC2070_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_LIC2070_MV CONDENSATE OUTLET LEVEL CONTROL VALVE
\\PIGILCollective\SACPP_CEN_FI2080_PV,Gas_Processing,Separators,0,0,SACPP_CEN_FI2080_PV GAS OUTLET FLOW RATE
\\PIGILCollective\SACPP_CEN_FI2070_PV,Gas_Processing,Separators,0,0,SACPP_CEN_FI2070_PV INLET FLOW RATE
\\PIGILCollective\SACPP_CEN_PI2070_PV,Gas_Processing,Separators,0,0,SACPP_CEN_PI2070_PV INLET PRESSURE
\\PIGILCollective\SACPP_CEN_TI2070_PV,Gas_Processing,Separators,0,0,SACPP_CEN_TI2070_PV INLET TEMPERATURE
\\PIGILCollective\SACPP_CEN_LIC2168_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2168_PV LIQUID LEVEL
\\PIGILCollective\SACPP_CEN_LIC2175_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2175_PV LIQUID LEVEL
\\PIGILCollective\SACPP_CEN_PI2175_PV,Gas_Processing,Separators,0,0,SACPP_CEN_PI2175_PV VESSEL PRESSURE A
\\PIGILCollective\SACPP_CEN_TI2175_PV,Gas_Processing,Separators,0,0,SACPP_CEN_TI2175_PV VESSEL TEMPERATURE
\\PIGILCollective\SACPP_CEN_LIC2177_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2177_PV LIQUID LEVEL
\\PIGILCollective\SACPP_CEN_LIC2210_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2210_PV CONDENSATE LEVEL
\\PIGILCollective\SACPP_CEN_LIC2210_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_LIC2210_MV CONDENSATE OUTLET LEVEL CONTROL VALVE
\\PIGILCollective\SACPP_CEN_TI2210_PV,Gas_Processing,Separators,0,0,SACPP_CEN_TI2210_PV GAS OUTLET TEMPERATURE
\\PIGILCollective\SACPP_CEN_PI2210_PV,Gas_Processing,Separators,0,0,SACPP_CEN_PI2210_PV VESSEL PRESSURE A
\\PIGILCollective\SACPP_CEN_TIC2203_PV,Gas_Processing,Separators,Yes,0,SACPP_CEN_TIC2203_PV GAS OUTLET TEMPERATURE
\\PIGILCollective\SACPP_CEN_LIC2230_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2230_PV LIQUID LEVEL
\\PIGILCollective\SACPP_CEN_LIC2230_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_LIC2230_MV LIQUID LEVEL CONTROL VALVE
\\PIGILCollective\SACPP_CEN_PI2230_PV,Gas_Processing,Separators,0,0,SACPP_CEN_PI2230_PV VESSEL PRESSURE A
\\PIGILCollective\SACPP_CEN_FI2260_PV,Gas_Processing,Separators,0,0,SACPP_CEN_FI2260_PV GAS OUTLET FLOW RATE
\\PIGILCollective\SACPP_CEN_PI2250_PV,Gas_Processing,Separators,0,0,SACPP_CEN_PI2250_PV VESSEL PRESSURE A
\\PIGILCollective\SACPP_CEN_TI2250_PV,Gas_Processing,Separators,0,0,SACPP_CEN_TI2250_PV VESSEL TEMPERATURE
\\PIGILCollective\SACPP_CEN_LI2251_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LI2251_PV WATER LEVEL
\\PIGILCollective\SACPP_CEN_LIC2300_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2300_PV CONDENSATE LEVEL
\\PIGILCollective\SACPP_CEN_LIC2300_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_LIC2300_MV CONDENSATE OUTLET LEVEL CONTROL VALVE
\\PIGILCollective\SACPP_CEN_FI2310_PV,Gas_Processing,Separators,0,0,SACPP_CEN_FI2310_PV GAS OUTLET FLOW RATE
\\PIGILCollective\SACPP_CEN_FI2300_PV,Gas_Processing,Separators,0,0,SACPP_CEN_FI2300_PV INLET FLOW RATE
\\PIGILCollective\SACPP_CEN_PI2300_PV,Gas_Processing,Separators,0,0,SACPP_CEN_PI2300_PV INLET PRESSURE
\\PIGILCollective\SACPP_CEN_TI2300_PV,Gas_Processing,Separators,0,0,SACPP_CEN_TI2300_PV INLET TEMPERATURE
\\PIGILCollective\SACPP_CEN_TI2320_PV,Gas_Processing,Separators,0,0,SACPP_CEN_TI2320_PV COMP#2 SUCTION TEMPERATURE
\\PIGILCollective\SACPP_CEN_TI2322_PV,Gas_Processing,Separators,0,0,SACPP_CEN_TI2322_PV COMP#2 DISCHARGE TEMPERATURE
\\PIGILCollective\SACPP_CEN_LIC2388_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2388_PV LIQUID LEVEL
\\PIGILCollective\SACPP_CEN_LIC2430_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2430_PV CONDENSATE LEVEL
\\PIGILCollective\SACPP_CEN_LIC2430_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_LIC2430_MV CONDENSATE OUTLET LEVEL CONTROL VALVE
\\PIGILCollective\SACPP_CEN_TI2430_PV,Gas_Processing,Separators,0,0,SACPP_CEN_TI2430_PV GAS OUTLET TEMPERATURE
\\PIGILCollective\SACPP_CEN_PI2430_PV,Gas_Processing,Separators,0,0,SACPP_CEN_PI2430_PV VESSEL PRESSURE A
\\PIGILCollective\SACPP_CEN_LIC2450_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2450_PV LIQUID LEVEL
\\PIGILCollective\SACPP_CEN_LIC2450_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_LIC2450_MV LIQUID LEVEL CONTROL VALVE
\\PIGILCollective\SACPP_CEN_PI2450_PV,Gas_Processing,Separators,0,0,SACPP_CEN_PI2450_PV VESSEL PRESSURE A
\\PIGILCollective\SACPP_CEN_FI2470_PV,Gas_Processing,Separators,0,0,SACPP_CEN_FI2470_PV GAS OUTLET FLOW RATE
\\PIGILCollective\SACPP_CEN_TIC2423_PV,Gas_Processing,Separators,Yes,0,SACPP_CEN_TIC2423_PV GAS OUTLET TEMPERATURE
\\PIGILCollective\SACPP_CEN_PI2460_PV,Gas_Processing,Separators,0,0,SACPP_CEN_PI2460_PV VESSEL PRESSURE A
\\PIGILCollective\SACPP_CEN_TI2460_PV,Gas_Processing,Separators,0,0,SACPP_CEN_TI2460_PV VESSEL TEMPERATURE
\\PIGILCollective\SACPP_CEN_LI2461_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LI2461_PV WATER LEVEL
\\PIGILCollective\SACPP_CEN_LIC2546_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2546_PV LIQUID LEVEL
\\PIGILCollective\SACPP_CEN_LIC2546_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_LIC2546_MV LIQUID LEVEL CONTROL VALVE
\\PIGILCollective\SACPP_CEN_LIC2652_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2652_PV CONDENSATE LEVEL
\\PIGILCollective\SACPP_CEN_PI2650_PV,Liquid_Processing,Separators,0,0,SACPP_CEN_PI2650_PV INLET PRESSURE
\\PIGILCollective\SACPP_CEN_LI2651_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LI2651_PV LIQUID LEVEL
\\PIGILCollective\SACPP_CEN_LI2650_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LI2650_PV WATER LEVEL
\\PIGILCollective\SACPP_CEN_LIC2650B_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_LIC2650B_MV WATER LEVEL CONTROL VALVE
\\PIGILCollective\SACPP_CEN_LIC2650C_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_LIC2650C_MV WATER LEVEL CONTROL VALVE 2
\\PIGILCollective\SACPP_CEN_FI2650_PV,Liquid_Processing,Separators,0,0,SACPP_CEN_FI2650_PV WATER OUTLET FLOW RATE
\\PIGILCollective\SACPP_CEN_FI2682_PV,Liquid_Processing,Separators,0,0,SACPP_CEN_FI2682_PV WATER OUTLET FLOW RATE 2
\\PIGILCollective\SACPP_CEN_PDI2670_PV,Liquid_Processing,Separators,0,0,SACPP_CEN_PDI2670_PV DIFFERENTIAL PRESSURE
\\PIGILCollective\SACPP_CEN_PI2670_PV,Liquid_Processing,Separators,0,0,SACPP_CEN_PI2670_PV VESSEL PRESSURE A
\\PIGILCollective\SACPP_CEN_LIC2670_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2670_PV WATER LEVEL
\\PIGILCollective\SACPP_CEN_LIC2670_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_LIC2670_MV WATER LEVEL CONTROL VALVE
\\PIGILCollective\SACPP_CEN_LIC2691_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2691_PV CONDENSATE LEVEL
\\PIGILCollective\SACPP_CEN_LIC2690_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2690_PV LIQUID LEVEL
